track_name,artist_name,genre,year,tempo,acousticness,energy,valence,tags
Echoes of Light,Sixty Miles Ahead,Folk,1992,172,0.6,0.25,0.14,"melancholic, fast, instrumental"
Motion of Time,Broke For Free,Blues,1995,132,0.38,0.4,0.23,"melancholic, fast"
Colors from Within,Jahzzar,Soul,1975,98,0.12,0.15,0.58,neutral
Dreams in Shadows,Sixty Miles Ahead,Reggae,1973,130,0.81,0.77,0.76,"acoustic, energetic, happy"
Midnight of Time,Lobo Loco,Jazz,1978,153,0.37,0.75,0.95,"energetic, happy, fast"
Serenity in Blue,Chris Zabriskie,Electronic,2002,131,0.07,0.47,0.88,"happy, fast"
Reflections in Shadows,Unheard Music Concepts,Rock,2016,141,0.11,0.93,0.77,"energetic, happy, fast"
Midnight in Blue,Blue Dot Sessions,Country,2021,137,0.06,0.9,0.65,"energetic, happy, fast"
Dreams of Light,Ryan Little,Hip-Hop,2014,172,0.22,0.82,0.68,"energetic, happy, fast"
Sunset of Hope,Crowander,World,1980,159,0.55,0.66,0.59,fast
Colors of Hope,Chris Zabriskie,Experimental,2017,76,0.5,0.96,0.0,"energetic, melancholic, slow"
Colors in Blue,Scott Holmes,Reggae,1977,176,0.2,0.77,0.79,"energetic, happy, fast"
Sunset in Shadows,Dexter Britain,Pop,2015,113,0.13,0.86,0.37,energetic
Midnight in Motion,Loyalty Freak Music,Folk,1992,173,0.47,0.49,0.8,"happy, fast, instrumental"
Voices of Time,Dexter Britain,Electronic,1997,109,0.62,0.94,0.99,"energetic, happy"
Midnight of the Sea,Steve Combs,Hip-Hop,2000,162,0.49,0.79,0.33,"energetic, fast"
Dreams of Hope,FMA Allstars,Blues,2016,143,0.51,0.5,0.93,"happy, fast"
Echoes of Silence,Lobo Loco,Soul,2015,157,0.92,0.87,0.77,"acoustic, energetic, happy, fast"
Dreams of Light,Unheard Music Concepts,Blues,2003,67,0.84,0.14,0.27,"acoustic, melancholic, slow"
Colors Awakening,Lobo Loco,Reggae,1997,172,0.75,0.41,0.31,"acoustic, fast"
Echoes of Silence,Kevin MacLeod,Rock,2012,94,0.4,0.56,0.85,happy
Lost in Motion,HoliznaCC0,Instrumental,2008,138,0.57,0.82,0.14,"energetic, melancholic, fast"
Serenity of the Sea,Loyalty Freak Music,Instrumental,2013,97,0.73,0.83,0.8,"acoustic, energetic, happy"
Echoes in Blue,FMA Allstars,Pop,2000,92,0.44,0.37,0.23,melancholic
Serenity Awakening,Kai Engel,Jazz,1995,89,0.05,0.56,0.27,melancholic
Lost of Hope,Crowander,Electronic,2004,160,0.67,0.44,0.7,"happy, fast"
Reflections in Shadows,Ryan Little,Classical,2008,131,0.87,0.26,0.89,"acoustic, happy, fast, instrumental"
